"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3162","Регистрация с валидными данными","LMS system","Wed Oct 01 03:09:54 GMT 2025","passed","Wed Oct 01 03:09:57 GMT 2025","Registration","Authentication","",""
"","2292","Навигация со страницы авторизации на страницу регистрации","LMS system","Wed Oct 01 03:09:46 GMT 2025","passed","Wed Oct 01 03:09:48 GMT 2025","Authorization","Authentication","",""
"","3988","Регистрация и авторизация с валидными данными","LMS system","Wed Oct 01 03:09:36 GMT 2025","passed","Wed Oct 01 03:09:40 GMT 2025","Authorization","Authentication","",""
"","2446","Проверка отображения дашборда","LMS system","Wed Oct 01 03:10:04 GMT 2025","passed","Wed Oct 01 03:10:06 GMT 2025","Dashboard","Dashboard","",""
"","3993","Регистрация с валидными данными","LMS system","Wed Oct 01 03:09:46 GMT 2025","passed","Wed Oct 01 03:09:50 GMT 2025","Registration","Authentication","",""
"","11908","Регистрация и авторизация с валидными данными","LMS system","Wed Oct 01 03:09:41 GMT 2025","passed","Wed Oct 01 03:09:53 GMT 2025","Authorization","Authentication","",""
"","3242","Авторизация с невалидными паролем или email","LMS system","Wed Oct 01 03:09:46 GMT 2025","passed","Wed Oct 01 03:09:49 GMT 2025","Authorization","Authentication","",""
"","2276","Авторизация с невалидными паролем или email","LMS system","Wed Oct 01 03:09:36 GMT 2025","passed","Wed Oct 01 03:09:39 GMT 2025","Authorization","Authentication","",""
"","2582","Проверка пустого списка курсов","LMS system","Wed Oct 01 03:09:52 GMT 2025","passed","Wed Oct 01 03:09:55 GMT 2025","Courses","Courses","",""
"","3333","Авторизация с невалидными паролем или email","LMS system","Wed Oct 01 03:09:41 GMT 2025","passed","Wed Oct 01 03:09:44 GMT 2025","Authorization","Authentication","",""
"","7083","Создание курса ","LMS system","Wed Oct 01 03:09:53 GMT 2025","passed","Wed Oct 01 03:10:00 GMT 2025","Courses","Courses","",""
"","5537","Создание курса ","LMS system","Wed Oct 01 03:09:53 GMT 2025","passed","Wed Oct 01 03:09:59 GMT 2025","Courses","Courses","",""
"","3571","Авторизация с невалидными паролем или email","LMS system","Wed Oct 01 03:09:41 GMT 2025","passed","Wed Oct 01 03:09:45 GMT 2025","Authorization","Authentication","",""
"","1839","Авторизация с невалидными паролем или email","LMS system","Wed Oct 01 03:09:39 GMT 2025","passed","Wed Oct 01 03:09:41 GMT 2025","Authorization","Authentication","",""
"","2397","Навигация со страницы авторизации на страницу регистрации","LMS system","Wed Oct 01 03:09:42 GMT 2025","passed","Wed Oct 01 03:09:44 GMT 2025","Authorization","Authentication","",""
"","2821","Проверка отображения дашборда","LMS system","Wed Oct 01 03:10:00 GMT 2025","passed","Wed Oct 01 03:10:03 GMT 2025","Dashboard","Dashboard","",""
"","2487","Проверка пустого списка курсов","LMS system","Wed Oct 01 03:10:02 GMT 2025","passed","Wed Oct 01 03:10:04 GMT 2025","Courses","Courses","",""
"","6518","Создание и редактирование курса","LMS system","Wed Oct 01 03:09:55 GMT 2025","passed","Wed Oct 01 03:10:02 GMT 2025","Courses","Courses","",""
"","2451","Авторизация с невалидными паролем или email","LMS system","Wed Oct 01 03:09:36 GMT 2025","passed","Wed Oct 01 03:09:39 GMT 2025","Authorization","Authentication","",""
"","6343","Создание и редактирование курса","LMS system","Wed Oct 01 03:10:01 GMT 2025","passed","Wed Oct 01 03:10:07 GMT 2025","Courses","Courses","",""
